NOTA_CANDIDATO;NOTA_CORTE;MARGEM;CLASSIFICACAO;IDADE;QT_VAGAS_CONCORRENCIA;GRAU;TURNO;TIPO_MOD_CONCORRENCIA;TP_COTA;SEXO;OPCAO;MESMA_UF;EFETIVOU
650.18;629.72;20.459999999999923;6;21;7;Bacharelado;Noturno;A;AMPLA;M;1;0;0
626.99;626.99;0.0;4;19;4;Bacharelado;Integral;L;D   ;M;1;1;1
609.44;604.3;5.1400000000001;8;20;10;Bacharelado;Integral;A;AMPLA;F;1;0;0
518.85;642.89;-124.03999999999996;51;22;22;Bacharelado;Noturno;A;AMPLA;M;1;1;0
729.63;718.37;11.259999999999991;3;22;7;Bacharelado;Noturno;L;D   ;M;1;1;1
605.12;545.56;59.56000000000006;6;18;60;Bacharelado;Matutino;A;AMPLA;M;1;1;1
401.76;531.52;-129.76;99;20;20;Bacharelado;Integral;A;AMPLA;F;1;1;0
636.09;606.71;29.379999999999995;31;20;20;Bacharelado;Integral;A;AMPLA;M;1;1;1
502.3;502.3;0.0;3;18;3;Bacharelado;Matutino;L;PPI ;M;1;1;1
522.32;559.28;-36.95999999999992;5;19;2;Licenciatura;Noturno;L;D   ;F;2;1;0
564.28;606.24;-41.960000000000036;9;23;5;Bacharelado;Noturno;L;PPI ;F;1;1;0
479.96;471.24;8.71999999999997;4;20;5;Bacharelado;Integral;L;PPI ;M;2;1;0
609.91;544.59;65.31999999999994;15;20;25;Bacharelado;Integral;A;AMPLA;F;1;1;0
521.06;679.39;-158.33000000000004;21;19;2;Bacharelado;Integral;L;D   ;F;2;0;0
663.93;658.44;5.489999999999895;14;20;18;Bacharelado;Noturno;A;AMPLA;M;1;1;1
469.56;579.2;-109.64000000000004;2;18;1;Tecnológico;Noturno;L;D   ;F;2;1;0
641.28;614.14;27.139999999999986;1;20;4;Bacharelado;Integral;L;PPI ;F;1;0;0
650.72;609.52;41.200000000000045;3;18;15;Bacharelado;Integral;A;AMPLA;M;2;0;0
501.3;584.07;-82.77000000000004;30;19;12;Bacharelado;Noturno;A;AMPLA;M;2;1;1
603.32;620.39;-17.069999999999936;5;19;4;Bacharelado;Noturno;A;AMPLA;F;1;0;1
514.64;510.54;4.099999999999966;6;20;7;Licenciatura;Integral;L;PPI ;F;1;1;1
631.25;630.78;0.4700000000000273;19;24;9;Bacharelado;Integral;A;AMPLA;F;2;1;0
638.0;661.4;-23.399999999999977;27;18;15;Bacharelado;Matutino;A;AMPLA;M;1;0;0
561.82;594.95;-33.129999999999995;18;16;7;Bacharelado;Integral;L;PPI ;F;1;1;0
707.08;687.38;19.700000000000045;17;20;20;Bacharelado;Noturno;A;AMPLA;F;2;0;0
412.89;586.86;-173.97000000000003;3;18;1;Tecnológico;Integral;L;D   ;M;2;1;0
617.74;699.34;-81.60000000000002;49;23;29;Bacharelado;Integral;A;AMPLA;F;1;1;1
566.91;602.0;-35.09000000000003;12;18;4;Bacharelado;Vespertino;L;PPI ;F;1;1;0
542.51;562.86;-20.350000000000023;3;34;1;Licenciatura;Integral;L;D   ;M;1;1;0
655.25;795.7;-140.45000000000005;683;20;45;Bacharelado;Integral;A;AMPLA;F;2;0;0
580.74;592.74;-12.0;11;20;8;Bacharelado;Integral;L;PP  ;F;1;1;1
639.44;663.38;-23.93999999999994;6;19;3;Bacharelado;Integral;L;D   ;F;1;1;0
508.47;500.44;8.03000000000003;3;19;5;Licenciatura;Noturno;L;PPI ;F;1;1;1
596.01;588.89;7.1200000000000045;5;19;7;Bacharelado;Integral;L;PPI ;F;1;0;0
641.52;662.73;-21.210000000000036;40;18;12;Bacharelado;Noturno;A;AMPLA;F;2;1;0
429.15;500.32;-71.17000000000002;47;28;23;Licenciatura;Noturno;B;AMPLA;F;1;1;1
625.82;671.32;-45.5;17;19;6;Bacharelado;Noturno;L;PPI ;F;1;1;0
496.46;546.3;-49.839999999999975;15;20;11;Bacharelado;Noturno;A;AMPLA;F;2;1;1
636.82;627.58;9.240000000000009;3;22;4;Tecnológico;Noturno;A;AMPLA;M;1;1;1
455.76;429.47;26.289999999999964;5;24;6;Bacharelado;Noturno;L;PPI ;F;2;1;1
508.91;551.69;-42.78000000000003;31;19;15;Bacharelado;Matutino;B;AMPLA;M;1;1;1
538.4;497.21;41.19;2;19;5;Bacharelado;Integral;L;PPI ;M;1;0;0
634.98;613.68;21.300000000000068;6;19;22;Bacharelado;Integral;B;AMPLA;M;2;0;0
414.37;414.37;0.0;5;19;5;Bacharelado;Vespertino;L;D   ;M;1;1;1
459.19;429.77;29.420000000000016;4;18;5;Licenciatura;Matutino;L;PPI ;F;2;1;1
593.04;621.69;-28.65000000000009;32;19;20;Bacharelado;Vespertino;B;AMPLA;F;1;1;1
743.49;795.7;-52.210000000000036;269;18;45;Bacharelado;Integral;A;AMPLA;F;1;0;0
739.78;755.64;-15.860000000000014;11;20;2;Bacharelado;Integral;L;D   ;M;1;1;0
630.87;541.58;89.28999999999996;2;19;15;Bacharelado;Matutino;A;AMPLA;M;2;0;0
573.02;631.94;-58.92000000000007;9;21;3;Tecnológico;Integral;L;D   ;M;1;1;1
436.12;503.6;-67.48000000000002;14;25;8;Licenciatura;Vespertino;A;AMPLA;M;1;1;0
627.3;605.5;21.799999999999955;16;20;26;Tecnológico;Noturno;A;AMPLA;M;1;0;0
545.0;536.56;8.440000000000055;33;21;16;Licenciatura;Integral;V;AMPLA;F;1;1;0
476.44;567.45;-91.01000000000005;16;19;5;Bacharelado;Integral;L;PPI ;F;1;1;0
414.1;687.38;-273.28;304;19;1;Bacharelado;Noturno;V;AMPLA;F;1;1;1
678.81;669.33;9.479999999999905;3;18;5;Bacharelado;Matutino;L;D   ;M;1;1;1
623.03;560.15;62.879999999999995;5;22;18;Área Básica de Ingresso (ABI);Vespertino;A;AMPLA;M;1;1;1
554.26;528.36;25.899999999999977;1;19;5;Bacharelado;Noturno;L;PPI ;M;1;0;0
