NOTA_CANDIDATO;NOTA_CORTE;MARGEM;CLASSIFICACAO;IDADE;QT_VAGAS_CONCORRENCIA;GRAU;TURNO;TIPO_MOD_CONCORRENCIA;TP_COTA;SEXO;OPCAO;MESMA_UF;EFETIVOU
552.61;558.39;-5.779999999999973;6;23;4;Licenciatura;Noturno;L;D   ;F;2;1;0
747.48;739.15;8.330000000000041;2;20;11;Bacharelado;Integral;L;PPI ;F;1;0;1
578.69;649.49;-70.79999999999995;35;18;7;Bacharelado;Integral;L;PPI ;F;1;1;0
451.07;;;1;20;3;Bacharelado;Integral;L;PPI ;M;1;0;1
564.73;702.39;-137.65999999999997;29;19;4;Bacharelado;Integral;L;D   ;F;1;1;0
594.14;590.85;3.2899999999999636;13;18;20;Bacharelado;Integral;B;AMPLA;F;1;1;0
574.31;478.64;95.66999999999996;3;19;17;Tecnológico;Integral;A;AMPLA;F;1;1;0
652.84;661.02;-8.17999999999995;13;19;12;Bacharelado;Integral;A;AMPLA;M;1;1;1
617.99;622.59;-4.600000000000023;23;18;22;Bacharelado;Integral;A;AMPLA;M;1;1;0
642.97;609.58;33.389999999999986;1;18;2;Bacharelado;Integral;L;D   ;M;2;0;0
499.0;537.48;-38.48000000000002;27;26;6;Licenciatura;Noturno;A;AMPLA;F;1;0;0
460.0;480.86;-20.860000000000014;4;27;3;Bacharelado;Matutino;L;PPI ;F;2;1;0
642.84;642.84;0.0;2;19;2;Licenciatura;Integral;L;D   ;F;1;1;1
619.86;641.87;-22.00999999999999;40;19;22;Bacharelado;Integral;A;AMPLA;M;1;0;0
731.93;745.65;-13.720000000000027;28;22;22;Bacharelado;Integral;A;AMPLA;M;1;1;1
570.26;637.21;-66.95000000000005;9;20;2;Bacharelado;Integral;L;D   ;F;2;1;0
663.85;646.8;17.050000000000068;2;20;8;Bacharelado;Integral;A;AMPLA;F;1;1;0
617.18;626.71;-9.530000000000086;14;19;10;Bacharelado;Integral;A;AMPLA;F;1;0;0
558.36;594.95;-36.59000000000003;21;18;7;Bacharelado;Integral;L;PPI ;F;1;0;1
561.11;494.32;66.79000000000002;2;66;5;Bacharelado;Integral;L;PPI ;M;1;1;1
556.58;562.56;-5.9799999999999045;23;19;20;Licenciatura;Matutino;B;AMPLA;M;1;1;0
564.63;552.53;12.100000000000023;4;18;5;Bacharelado;Integral;A;AMPLA;F;1;1;1
623.25;606.7;16.549999999999955;6;18;9;Bacharelado;Integral;A;AMPLA;M;1;1;1
636.61;611.01;25.600000000000023;1;35;5;Bacharelado;Integral;L;PPI ;F;1;1;1
714.44;766.64;-52.19999999999993;108;19;10;Bacharelado;Integral;L;D   ;F;2;0;0
598.62;640.46;-41.84000000000003;24;19;18;Licenciatura;Integral;A;AMPLA;F;2;1;1
625.8;664.26;-38.460000000000036;23;23;9;Bacharelado;Noturno;A;AMPLA;M;1;1;1
670.88;651.47;19.409999999999968;10;24;17;Bacharelado;Matutino;A;AMPLA;F;1;0;0
575.11;597.46;-22.350000000000023;10;21;5;Bacharelado;Integral;L;PPI ;F;1;1;1
609.39;632.34;-22.950000000000045;24;19;12;Bacharelado;Integral;A;AMPLA;F;2;1;0
578.25;527.61;50.639999999999986;1;18;2;Bacharelado;Integral;L;D   ;M;2;1;1
758.64;747.23;11.409999999999968;46;19;90;Bacharelado;Integral;A;AMPLA;M;1;1;1
764.11;795.7;-31.590000000000032;200;18;45;Bacharelado;Integral;A;AMPLA;F;2;1;0
676.11;658.44;17.66999999999996;10;19;18;Bacharelado;Noturno;A;AMPLA;F;1;0;0
597.29;594.94;2.349999999999909;16;19;7;Bacharelado;Integral;V;AMPLA;M;2;1;0
543.33;584.59;-41.25999999999999;33;24;12;Bacharelado;Integral;B;AMPLA;M;1;1;0
711.09;785.79;-74.69999999999993;134;19;9;Bacharelado;Integral;L;D   ;M;2;0;0
607.68;645.73;-38.05000000000007;2;20;1;Bacharelado;Noturno;L;D   ;M;1;1;0
704.07;699.61;4.460000000000036;1;21;2;Bacharelado;Integral;L;D   ;M;2;1;0
685.14;665.37;19.769999999999982;8;25;15;Bacharelado;Integral;A;AMPLA;M;1;1;0
630.23;696.81;-66.57999999999993;25;19;5;Bacharelado;Matutino;L;D   ;F;2;0;0
506.24;650.81;-144.56999999999994;26;41;5;Bacharelado;Integral;L;D   ;F;1;1;0
638.26;685.94;-47.680000000000064;12;18;4;Bacharelado;Noturno;A;AMPLA;M;1;1;0
592.52;582.14;10.379999999999995;11;18;17;Área Básica de Ingresso (ABI);Integral;B;AMPLA;F;1;1;1
620.48;565.86;54.620000000000005;3;20;8;Bacharelado;Noturno;L;PPI ;M;1;1;1
613.58;584.54;29.040000000000077;6;18;20;Bacharelado;Integral;A;AMPLA;F;1;0;1
583.56;749.54;-165.98000000000002;179;22;22;Bacharelado;Integral;A;AMPLA;F;2;0;0
501.5;453.2;48.30000000000001;7;28;11;Bacharelado;Noturno;A;AMPLA;F;1;0;0
614.59;684.19;-69.60000000000002;12;18;2;Bacharelado;Integral;L;D   ;F;1;0;0
606.7;540.5;66.20000000000005;1;20;5;Bacharelado;Noturno;L;PPI ;F;2;1;0
605.75;471.93;133.82;9;22;15;Licenciatura;Noturno;A;AMPLA;M;2;0;0
617.8;595.98;21.819999999999936;3;19;6;Bacharelado;Noturno;L;PPI ;F;1;1;1
534.76;520.6;14.159999999999968;5;34;10;Licenciatura;Noturno;A;AMPLA;F;2;1;0
504.0;;;4;21;5;Bacharelado;Integral;L;PPI ;F;2;1;0
691.06;775.21;-84.15000000000009;257;22;6;Bacharelado;Integral;V;AMPLA;F;2;1;0
628.86;628.86;0.0;6;18;6;Bacharelado;Integral;A;AMPLA;M;1;1;1
581.94;655.72;-73.77999999999997;26;18;5;Bacharelado;Integral;A;AMPLA;F;2;0;0
516.06;646.76;-130.70000000000005;4;20;2;Bacharelado;Integral;L;D   ;F;2;1;0
544.34;678.0;-133.65999999999997;198;19;30;Bacharelado;Noturno;A;AMPLA;F;2;1;0
556.44;538.34;18.100000000000023;1;19;4;Licenciatura;Noturno;L;PPI ;M;1;1;0
571.3;672.12;-100.82000000000005;173;22;3;Bacharelado;Integral;V;AMPLA;F;2;1;0
581.32;532.45;48.870000000000005;1;18;2;Bacharelado;Vespertino;L;PPI ;M;1;1;1
