NOTA_CANDIDATO;NOTA_CORTE;MARGEM;CLASSIFICACAO;IDADE;QT_VAGAS_CONCORRENCIA;GRAU;TURNO;TIPO_MOD_CONCORRENCIA;TP_COTA;SEXO;OPCAO;MESMA_UF;EFETIVOU
638.5;571.0;67.5;7;20;40;Licenciatura;Integral;A;AMPLA;F;1;1;1
631.39;571.0;60.389999999999986;9;22;40;Licenciatura;Integral;A;AMPLA;F;2;1;1
627.56;571.0;56.559999999999945;12;22;40;Licenciatura;Integral;A;AMPLA;F;1;1;1
630.69;571.0;59.690000000000055;10;20;40;Licenciatura;Integral;A;AMPLA;F;1;1;1
643.4;571.0;72.39999999999998;1;18;40;Licenciatura;Integral;A;AMPLA;F;1;1;1
557.77;571.0;-13.230000000000018;48;19;40;Licenciatura;Integral;A;AMPLA;F;1;1;0
506.3;571.0;-64.69999999999999;68;19;40;Licenciatura;Integral;A;AMPLA;F;2;1;0
484.03;571.0;-86.97000000000003;74;48;40;Licenciatura;Integral;A;AMPLA;F;1;1;0
472.26;571.0;-98.74000000000001;75;54;40;Licenciatura;Integral;A;AMPLA;F;1;1;0
567.63;571.0;-3.3700000000000045;41;20;40;Licenciatura;Integral;A;AMPLA;F;1;1;0
624.36;571.0;53.360000000000014;14;25;40;Licenciatura;Integral;A;AMPLA;F;1;1;0
550.33;571.0;-20.66999999999996;52;19;40;Licenciatura;Integral;A;AMPLA;F;1;1;0
639.31;571.0;68.30999999999995;6;19;40;Licenciatura;Integral;A;AMPLA;F;1;1;1
565.13;571.0;-5.8700000000000045;42;20;40;Licenciatura;Integral;A;AMPLA;F;1;1;0
609.34;571.0;38.34000000000003;27;19;40;Licenciatura;Integral;A;AMPLA;F;2;1;0
496.49;571.0;-74.50999999999999;71;19;40;Licenciatura;Integral;A;AMPLA;F;1;1;0
620.81;571.0;49.809999999999945;18;18;40;Licenciatura;Integral;A;AMPLA;F;1;1;1
622.26;571.0;51.25999999999999;17;21;40;Licenciatura;Integral;A;AMPLA;F;1;1;1
485.73;571.0;-85.26999999999998;73;18;40;Licenciatura;Integral;A;AMPLA;F;2;1;0
595.66;571.0;24.659999999999968;33;18;40;Licenciatura;Integral;A;AMPLA;F;2;0;0
491.66;571.0;-79.33999999999997;72;23;40;Licenciatura;Integral;A;AMPLA;F;1;1;0
562.8;571.0;-8.200000000000045;45;18;40;Licenciatura;Integral;A;AMPLA;F;1;1;0
534.04;571.0;-36.960000000000036;57;19;40;Licenciatura;Integral;A;AMPLA;F;2;1;0
603.56;571.0;32.559999999999945;30;18;40;Licenciatura;Integral;A;AMPLA;F;2;1;0
526.4;571.0;-44.60000000000002;62;18;40;Licenciatura;Integral;A;AMPLA;F;2;1;0
556.26;571.0;-14.740000000000009;49;19;40;Licenciatura;Integral;A;AMPLA;F;2;1;0
615.73;571.0;44.73000000000002;22;18;40;Licenciatura;Integral;A;AMPLA;F;1;1;0
640.81;571.0;69.80999999999995;4;19;40;Licenciatura;Integral;A;AMPLA;F;1;1;1
624.59;571.0;53.59000000000003;13;18;40;Licenciatura;Integral;A;AMPLA;F;1;1;1
537.19;571.0;-33.809999999999945;56;19;40;Licenciatura;Integral;A;AMPLA;F;2;1;0
554.49;571.0;-16.50999999999999;51;18;40;Licenciatura;Integral;A;AMPLA;F;1;1;0
619.86;571.0;48.860000000000014;19;19;40;Licenciatura;Integral;A;AMPLA;F;1;1;1
511.1;571.0;-59.89999999999998;65;18;40;Licenciatura;Integral;A;AMPLA;F;2;1;0
546.39;571.0;-24.610000000000014;54;18;40;Licenciatura;Integral;A;AMPLA;F;1;1;0
639.54;571.0;68.53999999999996;5;18;40;Licenciatura;Integral;A;AMPLA;M;2;1;0
571.0;571.0;0.0;40;20;40;Licenciatura;Integral;A;AMPLA;F;2;1;0
642.31;571.0;71.30999999999995;2;19;40;Licenciatura;Integral;A;AMPLA;F;1;1;1
549.04;571.0;-21.960000000000036;53;19;40;Licenciatura;Integral;A;AMPLA;F;1;1;0
622.44;571.0;51.440000000000055;16;20;40;Licenciatura;Integral;A;AMPLA;F;1;1;0
529.44;571.0;-41.559999999999945;60;19;40;Licenciatura;Integral;A;AMPLA;F;1;1;0
500.23;571.0;-70.76999999999998;70;42;40;Licenciatura;Integral;A;AMPLA;F;1;1;0
623.91;571.0;52.90999999999997;15;20;40;Licenciatura;Integral;A;AMPLA;F;1;1;1
585.4;571.0;14.399999999999977;38;19;40;Licenciatura;Integral;A;AMPLA;F;2;0;0
640.83;571.0;69.83000000000004;3;20;40;Licenciatura;Integral;A;AMPLA;F;1;1;0
469.9;558.83;-88.93000000000006;37;20;10;Licenciatura;Integral;L;PPI ;F;2;1;0
430.73;558.83;-128.10000000000002;41;19;10;Licenciatura;Integral;L;PPI ;F;1;1;0
530.14;558.83;-28.690000000000055;25;22;10;Licenciatura;Integral;L;PPI ;F;1;1;0
470.93;558.83;-87.90000000000003;36;24;10;Licenciatura;Integral;L;PPI ;F;1;1;0
424.1;558.83;-134.73000000000002;42;19;10;Licenciatura;Integral;L;PPI ;F;1;1;0
495.21;558.83;-63.62000000000006;34;18;10;Licenciatura;Integral;L;PPI ;F;1;1;0
563.36;558.83;4.529999999999973;8;23;10;Licenciatura;Integral;L;PPI ;M;2;1;1
550.96;558.83;-7.8700000000000045;14;26;10;Licenciatura;Integral;L;PPI ;F;2;1;0
510.71;558.83;-48.12000000000006;31;18;10;Licenciatura;Integral;L;PPI ;F;2;1;0
573.79;558.83;14.959999999999923;5;19;10;Licenciatura;Integral;L;PPI ;F;1;1;1
